,make,year,model,mileage,certified,price
598,Toyota,2019,RAV4,23505,1,28780
599,Toyota,2020,Supra,5595,0,50874
600,Toyota,2016,Corolla,49139,0,12987
601,Toyota,2017,Tacoma,34328,0,33987
602,Toyota,2012,RAV4,116077,0,8550
603,Toyota,2015,Camry,86711,0,15092
604,Toyota,2013,Tundra,99864,0,17995
605,Toyota,2019,Camry,23898,0,20995
606,Toyota,2020,Corolla,7635,0,17695
607,Toyota,2015,Corolla,70507,0,11282
608,Toyota,2010,Prius,108369,0,7900
609,Toyota,2019,Prius,22016,0,19731
610,Toyota,2013,Tacoma,67608,0,22398
611,Toyota,2019,Highlander,36381,1,29968
